,date,num_basket_objects,object_iterator,object_name,Y1,X1,Y2,X2,gaze_x,gaze_y,t_start,t_select,t_close,t_completion,NOSC,NGSC,NAC,TTA,TTG,OST,TTT,success,prosthetic_err,obj_select_err,grasp_config_err,aperture_err
0,06_01_2021_16_15_27,4,0,Lotion Bottles - RDM,13,235,232,328,-14,-37,1622578584984,1622578591653,1622578596420,1622578608052,0,0,1,4767,11436,6669,23068,True,True,False,False,False
1,06_01_2021_16_15_27,4,1,Mugs - RDM,29,24,158,124,37,-123,1622578657010,1622578659886,1622578664188,1622578669188,0,0,0,4302,7178,2876,12178,True,False,False,False,False
2,06_01_2021_16_15_27,4,2,knife,260,113,379,220,234,376,1622578679227,1622578682615,1622578686821,1622578698288,0,0,0,4206,7594,3388,19061,True,False,False,False,False
3,06_01_2021_16_15_27,4,3,mango,161,235,219,321,36,-188,1622578707745,1622578709412,1622578713322,1622578718669,0,0,0,3910,5577,1667,10924,True,False,False,False,False
4,06_01_2021_16_43_45,4,0,Travel mugs - UR,4,240,145,338,1,-182,1622580290161,1622580314149,1622580324739,1622580330001,1,0,0,10590,34578,23988,39840,False,False,False,False,True
5,06_01_2021_16_43_45,4,1,Glasses,182,181,327,365,52,-48,1622580351183,1622580368601,0,1622580379013,0,0,0,-1622580368601,-1622580351183,17418,27830,False,False,True,False,False
6,06_01_2021_16_43_45,4,2,Tooth paste - UR,12,179,119,210,460,-36,1622580422251,1622580427616,1622580435034,1622580439121,0,0,0,7418,12783,5365,16870,True,False,False,False,False
7,06_01_2021_16_43_45,4,3,T-shirt,149,167,274,352,31,-82,1622580454405,1622580458885,1622580463262,1622580467318,0,0,0,4377,8857,4480,12913,True,False,False,False,False
8,06_01_2021_18_30_47,3,0,Drill,15,83,116,253,97,-124,1622586688605,1622586691967,1622586697658,1622586709386,0,0,1,5691,9053,3362,20781,True,True,False,False,False
9,06_01_2021_18_30_47,3,1,white out,156,235,281,364,469,-2,1622586729363,1622586732798,1622586738526,1622586744487,0,0,0,5728,9163,3435,15124,True,False,True,False,False
10,06_01_2021_18_30_47,3,2,T-shirt,137,230,198,322,38,-177,1622586756456,1622586758970,1622586765969,1622586769703,0,0,0,6999,9513,2514,13247,True,False,False,False,False
11,06_02_2021_15_32_42,5,0,Apple,49,111,103,165,71,-136,1622662417273,1622662422616,1622662427939,1622662433188,0,0,0,5323,10666,5343,15915,True,False,False,False,False
12,06_02_2021_15_32_42,5,1,Mugs - UR,30,48,148,144,74,-164,1622662444761,1622662447609,1622662451022,1622662454124,0,0,0,3413,6261,2848,9363,True,False,False,False,False
13,06_02_2021_15_32_42,5,2,Mouse,66,285,138,357,91,-59,1622662461098,1622662463678,1622662467238,1622662472475,0,0,0,3560,6140,2580,11377,True,False,False,False,False
14,06_02_2021_15_32_42,5,3,Hand Sanitizer - RDM,96,222,150,270,185,-49,1622662480306,1622662502270,1622662506455,1622662510240,1,0,0,4185,26149,21964,29934,True,False,False,True,False
15,06_02_2021_15_32_42,5,4,Stapler,137,190,259,335,60,-158,1622662522581,1622662524611,1622662528473,1622662532787,0,0,0,3862,5892,2030,10206,True,False,False,False,False
16,06_02_2021_15_55_30,3,0,Towel,137,180,272,342,3,-4,1622663757187,1622663798553,0,1622663802642,3,0,0,-1622663798553,-1622663757187,41366,45455,False,False,False,True,False
17,06_02_2021_15_55_30,3,1,clamps,110,263,169,327,79,-68,1622663819846,1622663824757,1622663830994,1622663844774,0,0,1,6237,11148,4911,24928,False,False,False,True,False
18,06_02_2021_15_55_30,3,2,Coffee cup - RDM,109,47,246,134,43,-114,1622663857561,1622663860158,1622663878739,1622663883154,0,0,0,18581,21178,2597,25593,False,False,False,True,False
19,06_02_2021_15_59_32,5,0,cans - RDM,53,231,148,305,15,-112,1622664023948,1622664029527,1622664035406,1622664038156,0,0,0,5879,11458,5579,14208,True,False,False,False,False
20,06_02_2021_15_59_32,5,1,Large water bottle - RDM,104,146,202,209,75,-193,1622664043694,1622664046768,1622664053271,1622664065002,0,0,1,6503,9577,3074,21308,True,True,False,False,False
21,06_02_2021_15_59_32,5,2,Stapler,179,298,205,353,13,-129,1622664073673,1622664078206,1622664081446,1622664085907,0,0,0,3240,7773,4533,12234,True,False,False,False,False
22,06_02_2021_15_59_32,5,3,airpods,162,290,217,341,39,-126,1622664092639,1622664095618,1622664099107,1622664103390,0,0,0,3489,6468,2979,10751,True,False,False,False,False
23,06_02_2021_15_59_32,5,4,Coffee cup - UR,100,96,220,202,6,-94,1622664109152,1622664111523,1622664117539,1622664119856,0,0,0,6016,8387,2371,10704,True,False,False,True,False
24,06_01_2021_16_43_45,4,0,car keys,194,79,257,137,394,710,1622581507647,1622581511635,1622581521137,1622581525384,0,0,0,9502,13490,3988,17737,False,True,False,False,False
25,06_01_2021_16_43_45,4,1,Tooth paste - RDM,203,209,239,271,42,-129,1622581541381,1622581552845,1622581555886,1622581560017,1,0,0,3041,14505,11464,18636,True,False,True,False,False
26,06_01_2021_16_43_45,4,2,laddle,105,144,158,255,73,-88,1622581573740,1622581577188,1622581580403,1622581588568,0,0,1,3215,6663,3448,14828,True,True,False,False,False
27,06_01_2021_16_43_45,4,3,Speakers,110,320,202,384,42,-162,1622581598780,1622581601352,1622581605636,1622581608912,0,0,0,4284,6856,2572,10132,True,False,False,False,False
28,06_01_2021_18_30_47,4,0,Glasses,241,163,380,241,58,-74,1622587809832,1622587813607,1622587818647,1622587821542,0,0,0,5040,8815,3775,11710,True,False,False,False,False
29,06_01_2021_18_30_47,4,1,Drill,208,263,343,356,29,-130,1622587829557,1622587832584,1622587836224,1622587842731,0,0,0,3640,6667,3027,13174,True,False,False,False,False
30,06_01_2021_18_30_47,4,2,Shoes,142,95,282,259,31,-81,1622587849283,1622587857758,1622587862540,1622587871523,0,0,1,4782,13257,8475,22240,True,False,False,True,False
31,06_01_2021_18_30_47,4,3,Hand Sanitizer - UR,75,232,202,290,-51,-66,1622587880670,1622587882492,1622587886708,1622587889523,0,0,0,4216,6038,1822,8853,True,False,False,False,False
32,06_02_2021_15_59_32,4,0,orange,264,70,331,137,378,101,1622665075621,1622665078542,1622665083972,1622665087015,0,0,0,5430,8351,2921,11394,True,False,False,False,False
33,06_02_2021_15_59_32,4,1,Mugs - RDM,103,155,228,291,30,-70,1622665093407,1622665096549,1622665099112,1622665101332,0,0,0,2563,5705,3142,7925,True,False,False,False,False
34,06_02_2021_15_59_32,4,2,Jar - UR,8,210,116,295,60,-137,1622665110710,1622665113324,1622665116506,1622665119729,0,0,0,3182,5796,2614,9019,True,False,False,False,False
35,06_02_2021_15_59_32,4,3,laddle,35,254,336,343,62,-133,1622665124857,1622665127714,1622665132312,1622665135373,0,0,0,4598,7455,2857,10516,True,False,False,False,False
36,06_01_2021_16_43_45,3,0,cigar,126,242,172,297,36,-46,1622581640650,1622581644046,1622581646184,1622581649460,0,0,0,2138,5534,3396,8810,True,False,False,False,False
37,06_01_2021_16_43_45,3,1,T-shirt,202,242,222,345,130,-173,1622581657509,1622581660636,1622581666127,1622581669769,0,0,0,5491,8618,3127,12260,True,False,False,True,False
38,06_01_2021_16_43_45,3,2,duster,154,220,288,246,19,-46,1622581684278,1622581686725,1622581691874,1622581694788,0,0,0,5149,7596,2447,10510,True,False,False,False,False
39,06_01_2021_18_30_47,3,0,Apple,77,33,141,101,226,246,1622587918546,1622587921584,1622587925924,1622587929140,0,0,0,4340,7378,3038,10594,True,False,False,False,False
40,06_01_2021_18_30_47,3,1,paint roller,261,200,325,279,-22,34,1622587934140,1622587937364,1622587942325,1622587944569,0,0,0,4961,8185,3224,10429,True,False,False,False,False
41,06_01_2021_18_30_47,3,2,Hand Sanitizer - RDM,130,216,200,324,46,-11,1622587956288,1622587958766,1622587962757,1622587965641,0,0,0,3991,6469,2478,9353,True,False,False,False,False
42,06_02_2021_15_59_32,2,0,Small water bottle - RDM,110,257,170,356,3,-33,1622665184407,1622665187981,1622665190643,1622665192806,0,0,0,2662,6236,3574,8399,True,False,False,False,False
43,06_02_2021_15_59_32,2,1,Measuring tape,158,270,258,368,259,-100,1622665197172,1622665199202,1622665201427,1622665204725,0,0,0,2225,4255,2030,7553,True,False,False,False,False
44,06_01_2021_16_43_45,5,0,glass case,47,213,134,350,13,-142,1622581745492,1622581753892,1622581756904,1622581759785,0,0,0,3012,11412,8400,14293,True,False,False,False,False
45,06_01_2021_16_43_45,5,1,pump,25,151,161,185,2,-219,1622581765517,1622581772200,1622581782304,1622581797236,0,0,1,10104,16787,6683,31719,True,True,False,False,False
46,06_01_2021_16_43_45,5,2,Shoes,70,58,124,93,235,-142,1622581809329,1622581812221,1622581819452,1622581824213,0,0,0,7231,10123,2892,14884,True,False,True,False,False
47,06_01_2021_16_43_45,5,3,Dish Soap - RDM,32,253,113,329,14,-69,1622581849085,1622581852201,1622581855142,1622581859086,0,0,0,2941,6057,3116,10001,True,False,False,False,False
48,06_01_2021_16_43_45,5,4,white out,294,235,325,335,235,157,0,0,0,1622581865221,0,0,0,2941,6057,0,16136,False,False,False,False,False
49,06_01_2021_18_30_47,4,0,glass case,205,240,305,384,70,-106,1622588007323,1622588010340,1622588015191,1622588017290,0,0,0,4851,7868,3017,9967,True,False,False,False,False
50,06_01_2021_18_30_47,4,1,Speakers,238,168,332,256,24,-142,1622588023407,1622588026383,1622588030758,1622588032973,0,0,0,4375,7351,2976,9566,True,False,False,False,False
51,06_01_2021_18_30_47,4,2,Jar - UR,141,134,257,227,85,-104,1622588039312,1622588043059,1622588051276,1622588064234,0,0,0,8217,11964,3747,24922,True,False,False,False,False
52,06_01_2021_18_30_47,4,3,laddle,141,202,205,359,237,504,1622588078597,1622588080792,1622588085409,1622588088472,0,0,0,4617,6812,2195,9875,True,False,False,False,False
53,06_02_2021_15_59_32,3,0,Towel,186,243,307,383,124,-77,1622665236031,1622665239064,1622665241331,1622665245106,0,0,0,2267,5300,3033,9075,True,False,False,False,False
54,06_02_2021_15_59_32,3,1,cans - RDM,146,245,222,319,77,-122,1622665250233,1622665253688,1622665256377,1622665259350,0,0,0,2689,6144,3455,9117,True,False,False,False,False
55,06_02_2021_15_59_32,3,2,Mugs - UR,108,198,219,286,40,-102,1622665264125,1622665266153,1622665268606,1622665270575,0,0,0,2453,4481,2028,6450,True,False,False,False,False
56,06_01_2021_18_30_47,4,0,white out,159,127,251,167,-15,-86,1622588126550,1622588137809,1622588142093,1622588145374,1,0,0,4284,15543,11259,18824,True,False,True,False,False
57,06_01_2021_18_30_47,4,1,Lotion Bottles - UR,2,239,197,324,-5,-120,1622588155259,1622588171020,1622588175677,1622588183092,1,0,0,4657,20418,15761,27833,False,True,False,False,False
58,06_01_2021_18_30_47,4,2,car keys,223,263,257,294,68,97,1622588191929,1622588195232,1622588200573,1622588206709,0,0,0,5341,8644,3303,14780,True,False,False,False,False
59,06_01_2021_18_30_47,4,3,Small water bottle - UR,99,286,187,356,-102,-127,1622588227743,1622588217100,1622588223709,1622588230541,0,0,0,0,-1622588227743,2634,2798,True,False,False,False,False
60,06_02_2021_15_59_32,3,0,cans - UR,75,73,154,148,73,-180,1622665292723,1622665296990,1622665300118,1622665303173,0,0,0,3128,7395,4267,10450,True,False,False,False,False
61,06_02_2021_15_59_32,3,1,laddle,55,243,224,377,115,-99,1622665308640,1622665314360,1622665316795,1622665321525,0,0,0,2435,8155,5720,12885,True,False,False,False,False
62,06_02_2021_15_59_32,3,2,T-shirt,146,262,212,367,74,-176,1622665325944,1622665328100,1622665330933,1622665333442,0,0,0,2833,4989,2156,7498,True,False,False,False,False
63,06_01_2021_18_30_47,3,0,white out,259,192,300,289,26,-131,1622588260974,1622588264081,1622588267355,1622588270060,0,0,0,3274,6381,3107,9086,True,False,False,False,False
64,06_01_2021_18_30_47,3,1,cans - UR,89,150,174,208,273,226,1622588277388,1622588280642,1622588283744,1622588294942,0,0,0,3102,6356,3254,17554,True,False,False,False,False
65,06_01_2021_18_30_47,3,2,Small water bottle - UR,61,359,135,384,58,-167,1622588304250,1622588307683,1622588313406,1622588316209,0,0,0,5723,9156,3433,11959,True,False,False,False,False
66,06_02_2021_15_59_33,3,0,cans - UR,95,143,173,193,67,-91,1622665382173,1622665385247,1622665388005,1622665389874,0,0,0,2758,5832,3074,7701,True,False,False,False,False
67,06_02_2021_15_59_33,3,1,Mouse,247,165,337,257,57,-94,1622665404232,1622665407071,1622665409540,1622665411857,0,0,0,2469,5308,2839,7625,True,False,False,False,False
68,06_02_2021_15_59_33,3,2,Shoes,120,247,203,377,201,-133,1622665418421,1622665420756,1622665424198,1622665428106,0,0,0,3442,5777,2335,9685,True,False,False,False,False
69,06_01_2021_18_30_47,3,0,tape,90,254,199,364,-13,-75,1622588347253,1622588357755,1622588361310,1622588364009,1,0,0,3555,14057,10502,16756,True,False,True,False,False
70,06_01_2021_18_30_47,3,1,Lotion Bottles - RDM,23,112,235,240,104,-145,1622588373013,1622588379438,1622588383686,1622588386725,0,0,0,4248,10673,6425,13712,True,False,False,False,False
71,06_01_2021_18_30_47,3,2,cigar,92,258,150,293,-2,-131,1622588393301,1622588417585,1622588422744,1622588425758,2,0,0,5159,29443,24284,32457,True,False,False,True,False
72,06_02_2021_15_59_33,3,0,Small water bottle - RDM,164,337,233,384,262,195,0,0,0,1622665466302,0,0,0,3442,5777,0,47881,False,False,False,False,False
73,06_02_2021_15_59_33,3,1,Speakers,82,41,158,116,32,-117,1622665492933,1622665498356,1622665503275,1622665505706,0,0,0,4919,10342,5423,12773,True,False,False,False,False
74,06_02_2021_15_59_33,3,2,mango,93,304,170,383,43,-70,1622665509984,1622665512019,1622665514476,1622665516708,0,0,0,2457,4492,2035,6724,True,False,False,False,False
